Samples,NMDS1,NMDS2,Year,Location ,Direction
CPP01,-0.351527851,-0.632554032,2020,Bottle Lake,SE
CPP02,0.256884869,-0.358797653,2020,Pine Beach,NE
CPP03,-0.664980448,-0.648438671,2020,Woodend Beach,NE
CPP04,0.382193494,-0.332671488,2020,Mcleans Island,SE
CPP05,-0.217956261,0.461876746,2020,Hakett,SE
CPP06,-0.729957308,0.398796882,2020,Kirwee,SW
CPP07,0.217875864,-0.143403178,2020,Hawkins,SW
CPP08,-0.290281299,0.588501617,2020,Greendale,SW
CPP09,-0.810222467,-0.369137153,2020,Sandy Knolls,SE
CPP10,0.456586808,0.275970688,2020,Ellesmere/Springston ,SE
CPP11,-0.242222161,0.328577553,2020,Fernside,NE
CPP12,-0.796687018,0.046914361,2020,Mandeville North,NE
CPP13,0.675942087,0.470357906,2020,Eyrewell,NE
CPP14,-0.910165472,0.628709164,2020,Cust,NE
CPP15,-1.174241604,0.045010211,2020,Oxford,NW
CPP16,0.355412279,0.226310976,2020,Ashley Gorge ,NW
CPP17,1.326435579,0.148925903,2020,View Hill,NW
CPP18,-0.654320401,0.14653015,2020,Waddington,NW
CPP19,2.302708971,-0.693992783,2020,Kowai Stream,NW
CPP20,0.070173313,-0.411971577,2020,Russells Flat,NW
CPP21,-0.547349047,0.385758579,2020,Whitecliffs,SW
CPP22,-0.710145402,-0.210432103,2020,Glenroy,SW
CPP23,0.02106265,1.177830851,2020,Te Pirita,SW
CPP24,-1.198721598,0.527075564,2020,Ladbrook,SE
CPP25,0.17460994,-0.616596297,2021,Bottle Lake,SE
CPP26,2.501831171,-0.412840793,2021,Pine Beach,NE
CPP27,0.086570011,-1.237842033,2021,Woodend Beach,NE
CPP28,-0.033375896,-0.739115937,2021,Mcleans Island,SE
CPP29,0.889781194,0.248035008,2021,Hakett,SE
CPP30,0.598812005,-0.447075304,2021,Kirwee,SW
CPP31,-0.134004126,0.120974881,2021,Hawkins,SW
CPP32,0.007290123,-0.262533608,2021,Greendale,SW
CPP33,-0.426257989,0.748807547,2021,Sandy Knolls,SE
CPP34,-0.513334434,0.247577268,2021,Ellesmere/Springston ,SE
CPP35,0.250754728,0.070889912,2021,Fernside,NE
CPP36,0.587034112,0.007573378,2021,Mandeville North,NE
CPP37,0.562237227,-0.062278591,2021,Eyrewell,NE
CPP38,-0.466284921,-0.513437522,2021,Cust,NE
CPP39,-1.49270451,0.110069698,2021,Oxford,NW
CPP40,0.426752421,1.218766177,2021,Ashley Gorge ,NW
CPP41,1.39436814,1.835603854,2021,View Hill,NW
CPP42,-0.07833623,0.010669074,2021,Waddington,NW
CPP43,-0.256122213,-0.668414052,2021,Kowai Stream,NW
CPP44,-0.932904445,-1.065642253,2021,Russells Flat,NW
CPP45,-0.140827872,-0.25226788,2021,Whitecliffs,SW
CPP46,-0.412499743,-0.015432346,2021,Glenroy,SW
CPP47,1.334431522,-0.298891735,2021,Te Pirita,SW
CPP48,-0.694317791,-0.082346957,2021,Ladbrook,SE
