,ASVs,Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxonomy
ASV_1,ASV_1,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporales_fam_Incertae_sedis,g__Microsphaeropsis,s__spartii-juncei,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Microsphaeropsis;s__spartii-juncei
ASV_2,ASV_2,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
ASV_3,ASV_3,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothioraceae,g__Perusta,s__inaequalis,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Perusta;s__inaequalis
ASV_4,ASV_4,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothioraceae,g__Hormonema,s__macrosporum,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Hormonema;s__macrosporum
ASV_5,ASV_5,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Phaeotremellaceae,g__Gelidatrema,s__spencermartinsiae,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Phaeotremellaceae;g__Gelidatrema;s__spencermartinsiae
ASV_6,ASV_6,k__Fungi,p__Ascomycota,c__Taphrinomycetes,o__Taphrinales,f__Taphrinaceae,g__Taphrina,s__carpini,k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;s__carpini
ASV_7,ASV_7,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
ASV_8,ASV_8,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
ASV_9,ASV_9,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,NA,NA,NA,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;NA;NA;NA
ASV_10,ASV_10,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothioraceae,g__Perusta,s__inaequalis,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Perusta;s__inaequalis
ASV_11,ASV_11,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Naganishia,NA,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia;NA
ASV_12,ASV_12,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Epicoccum,s__dendrobii,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum;s__dendrobii
ASV_13,ASV_13,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Chaetothyriales_fam_Incertae_sedis,g__Sarcinomyces,s__crustaceus,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriales_fam_Incertae_sedis;g__Sarcinomyces;s__crustaceus
ASV_14,ASV_14,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lachnellula,s__fuscosanguinea,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnellula;s__fuscosanguinea
ASV_15,ASV_15,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,NA,NA,NA,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;NA;NA;NA
ASV_17,ASV_17,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__victoriae,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__victoriae
ASV_18,ASV_18,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Capronia,NA,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Capronia;NA
ASV_19,ASV_19,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Articulospora,NA,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Articulospora;NA
ASV_20,ASV_20,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,f__Erythrobasidiaceae,g__Erythrobasidium,s__hasegawianum,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiaceae;g__Erythrobasidium;s__hasegawianum
